bus_name,bus_rating,loc_latitude,loc_longitude
Five Guys Burgers and Fries,4,35.3380700000000019,-80.7573969999999974
Wolfman Pizza,4,35.1950799999999973,-80.825792000000007
The Melting Pot,4.5,35.4412525999999986,-80.8672260000000023
Smashburger,3.5,35.1780359999999988,-80.8012300000000039
Ilios Noche,4,35.1169019184000035,-80.8563333246000013
Jersey Mike's Subs,4,35.1718773999999996,-80.6599595999999934
Starbucks,3.5,35.2221079999999986,-80.8453290000000067
Arby's,3.5,35.0510683999999983,-80.7726411999999954
Ben & Jerry's,4,35.2574569000000011,-81.1114172000000053
American Deli,3.5,35.2601030000000009,-80.7738315
China Cafe,4,35.1223299999999981,-80.6531899999999951
Ben & Jerry's,4,35.4981372000000022,-80.8493038999999953
Cast Iron Waffles,4.5,35.0822000000000003,-80.8772242000000006
Poppyseeds Bagels,3.5,35.0471311037999982,-80.642797644500007
YAFO Kitchen,4.5,35.2032057999999992,-80.8457729999999941
Hickory Tavern,3.5,35.091346999999999,-80.845918999999995
Papa Murphy's,5,35.4761287999999979,-80.8899691999999959
Donatos Pizza,4,35.1541493000000003,-80.8285663000000056
K & W Cafeteria,4,35.4482420000000005,-80.5987829999999974
Starbucks,3.5,35.2021689999999978,-80.8245940000000047
Jimmy John's,3.5,35.2043755999999988,-80.8641130999999973
Sake Express,3.5,35.2620301688999973,-81.1570349999999934
Crisp,3.5,35.2125020000000006,-80.8178079999999994
El Valle Mexican Restaurant,3.5,35.3029420000000016,-81.0289520000000039
Five Guys,4.5,35.2620989999999992,-81.1402819999999991
Subway Restaurants,3.5,35.0060493000000008,-80.5625749999999954
Cast Iron Waffles,3.5,35.1527918000000028,-80.8402724999999975
Starbucks,4,35.0218559999999997,-80.5790519714000055
Jersey Mike's Subs,3.5,35.1272349999999989,-80.7003509999999977
Shake Shack,3.5,35.1727511337999985,-80.8493591610999971
Cantina 1511,3.5,35.1735800000000012,-80.8499979999999994
Honey Baked Ham Company,4,35.2968436000000025,-80.7588858999999957
Viva Chicken,4.5,35.1699085999999994,-80.8511320000000069
Taxco Mexican Grill,3.5,35.4437228999999974,-80.8645501999999965
Jersey Mike's Subs,3.5,35.4199164999999994,-80.6765869000000038
Sub Station II,4.5,35.262757999999998,-81.1695780000000013
Food Lion,4,35.344473899999997,-80.8867216999999954
Arby's,3.5,35.2125972999999988,-80.8336051999999938
Just Fresh,4,35.1322011999999972,-80.8396817999999939
Domino's,3.5,35.4046465999999995,-80.6870528000000036
Chicken Box Cafe,4,35.2544169000000025,-80.8008800000000065
Chatpatay,4.5,35.3121681000000009,-80.7450974000000059
Jet's Pizza,3.5,35.0898460000000014,-80.8671870000000013
Zoes Kitchen,3.5,35.1281681000000034,-80.7010482000000025
Pho Plus,4,35.2561846999999986,-80.7911787000000032
Chopt Creative Salad Co.,4,35.1753250000000008,-80.8497619999999984
Ben & Jerry's,4,35.1718729999999979,-80.849031999999994
Marco's Pizza,3.5,35.2257400000000018,-81.1336239999999975
Five Guys,3.5,35.0193465999999987,-80.5781999999999954
Groucho's Deli,3.5,35.1611333999999971,-80.8492822999999987
Duck Donuts,4,35.4091354999999979,-80.8614325000000065
Firebirds Wood Fired Grill,4,35.1559943107000024,-80.8239325442000052
Firebirds Wood Fired Grill,4,35.0620546999999974,-80.8157460000000043
Crisp,3.5,35.20017,-80.8438009999999991
Honey Baked Ham Company,3.5,35.1781843503000005,-80.8786010742000059
Shake Shake Seafood,4,35.0198149249999986,-80.5780028212000019
Crunch Bistro,4,35.2302490000000006,-80.8390380000000022
Toppers Pizza,3.5,35.1685516000000007,-80.8749437999999969
CAVA,4.5,35.3099660000000029,-80.7478569999999962
Waffle House,3.5,35.087963000000002,-80.8584879999999941
Sake Express,3.5,35.299672600000001,-81.0222705999999988
Firehouse Subs,3.5,35.0293240000000026,-80.8501530000000059
Azteca Mexican Restaurant,3.5,35.1345297000000016,-80.7123890999999958
La Frontera,4,35.0702262000000005,-80.6992855999999961
Sunflour Baking Company,4,35.210942799999998,-80.8571737000000041
Salsarita's Fresh Mexican Grill,3.5,35.3176964000000027,-80.7720982000000021
Char Bar No 7,3.5,35.0914945000000031,-80.8458227999999934
Rhino Market & Deli,4.5,35.2255299999999991,-80.8477759999999961
China Cafe,3.5,35.2322636000000031,-81.1675409000000059
Undercurrent Coffee,4.5,35.2342877943999966,-80.827484565000006
Bonefish Grill,4,35.130294281300003,-80.7118407022000071
Firenza Pizza,3.5,35.3490261000000032,-80.8576276999999948
Food Lion,3.5,35.3703390000000013,-80.5474799999999931
Caribou Coffee,4,35.1731718999999998,-80.8477862999999957
Harper's Restaurant,3.5,35.0814976999999999,-80.8772266999999943
Bonefish Grill,3.5,35.0887480000000025,-80.8451740999999942
Azteca Mexican Restaurant,4,35.1782468999999978,-80.8826370999999966
Hwy 55 Burgers Shakes & Fries,3.5,35.1401106945000024,-80.6247519931999932
Chick-fil-A,4,35.0161901999999969,-80.5712970000000013
Cuzzo's Cuisine,4,35.2452200000000033,-80.884215999999995
Pure Pizza,4,35.2275824426999975,-80.8379116705999934
Jersey Mike's Subs,5,35.0235938126999997,-80.7608792558000061
